student_id,full_name,email,dob,hometown,math,literature,english,source_file,error_log,avg_score,rank
SV032,Duc H Unknown,unknown.duch.32@gmail.com,2005-07-10,Unknown,4.6,1.6,0.0,students_202601191651.txt,,2.07,Yếu
SV033,Thi B Hoang,fake_email_33@not-exist-domain.com,2003-09-11,Ha Noi,3.0,8.0,0.0,students_202601191651.txt,,3.67,Yếu
SV034,Huu T Bui,bui.huut.34@gmail.com,2006-07-01,Hai Phong,7.2,4.9,0.0,students_202601191651.txt,,4.03,Yếu
SV035,Duc H Hoang,fake_email_35@not-exist-domain.com,2005-02-08,Tp.Hcm,5.8,4.9,5.0,students_202601191651.txt,,5.23,Trung Bình
SV036,Thi D Vu,vu.thid.36@gmail.com,2005-01-12,Thanh Hoa,1.5,6.8,0.0,students_202601191651.txt,,2.77,Yếu
SV037,Tuan G Vu,vu.tuang.37@gmail.com,2006-12-29,Son La,9.3,8.1,0.0,students_202601191651.txt,,5.8,Trung Bình
SV038,Duc H Dinh,fake_email_38@not-exist-domain.com,2005-03-12,Tp.Hcm,9.0,7.6,9.3,students_202601191651.txt,,8.63,Giỏi
SV039,Van A Pham,pham.vana.39@gmail.com,2005-08-31,Nghe An,1.8,5.3,9.7,students_202601191651.txt,,5.6,Trung Bình
SV040,Thi D Trinh,trinh.thid.40@gmail.com,2003-06-04,Thanh Hoa,8.2,4.9,7.9,students_202601191651.txt,,7.0,Khá
SV041,Ngoc F Hoang,hoang.ngocf.41@gmail.com,2004-09-18,Hai Phong,4.9,5.4,0.0,students_202601191651.txt,,3.43,Yếu
SV042,Duc H Dang,dang.duch.42@gmail.com,2005-05-07,Son La,8.0,0.7,1.2,students_202601191651.txt,,3.3,Yếu
SV043,Thi D Hoang,fake_email_43@not-exist-domain.com,2003-09-15,Unknown,7.9,8.4,8.0,students_202601191651.txt,,8.1,Giỏi
SV044,Thi D Pham,pham.thid.44@gmail.com,2003-09-20,Nghe An,7.4,8.3,1.3,students_202601191651.txt,,5.67,Trung Bình
SV045,Van C Pham,pham.vanc.45@gmail.com,2003-12-17,Tp.Hcm,3.1,8.2,4.3,students_202601191651.txt,,5.2,Trung Bình
SV046,Duc H Bui,bui.duch.46@gmail.com,2001-03-22,N/A,5.0,4.0,0.7,students_202601191651.txt,,3.23,Yếu
SV047,Huu T Bui,bui.huut.47@gmail.com,2002-08-25,Son La,7.9,3.5,5.4,students_202601191651.txt,,5.6,Trung Bình
SV048,Ngoc F Bui,fake_email_48@not-exist-domain.com,2007-08-23,Tp.Hcm,5.4,9.6,2.1,students_202601191651.txt,,5.7,Trung Bình
SV049,Tieu I Trinh,trinh.tieui.49@gmail.com,2007-04-26,Unknown,1.6,3.5,0.0,students_202601191651.txt,,1.7,Yếu
SV050,Tuan G Dang,fake_email_50@not-exist-domain.com,2000-07-21,Hai Phong,6.5,4.8,8.3,students_202601191651.txt,,6.53,Khá
SV051,Thi B Unknown,unknown.thib.51@gmail.com,2005-09-02,Hai Phong,5.1,4.7,1.7,students_202601191651.txt,,3.83,Yếu
SV052,Thi D Le,le.thid.52@gmail.com,2004-01-17,Can Tho,5.2,7.1,1.1,students_202601191651.txt,,4.47,Yếu
SV053,Tuan G Trinh,fake_email_53@not-exist-domain.com,2006-03-01,Nghe An,5.5,3.3,7.5,students_202601191651.txt,,5.43,Trung Bình
SV054,Van C Tieu,fake_email_54@not-exist-domain.com,2006-05-07,N/A,4.8,3.5,1.3,students_202601191651.txt,,3.2,Yếu
SV055,Van C Le,le.vanc.55@gmail.com,2005-01-09,Son La,0.1,1.6,0.0,students_202601191651.txt,,0.57,Yếu
SV056,Van C Pham,fake_email_56@not-exist-domain.com,2003-10-01,Hai Phong,1.5,7.3,8.1,students_202601191651.txt,,5.63,Trung Bình
SV057,Duc H Bui,bui.duch.57@gmail.com,2006-03-18,Hai Phong,4.3,0.9,5.6,students_202601191651.txt,,3.6,Yếu
SV058,Van A Bui,bui.vana.58@gmail.com,2006-10-09,Nghe An,7.9,3.5,6.2,students_202601191651.txt,,5.87,Trung Bình
SV059,Huu T Dinh,dinh.huut.59@gmail.com,2001-09-21,Hai Phong,7.7,2.3,5.4,students_202601191651.txt,,5.13,Trung Bình
SV060,Ngoc F Hoang,fake_email_60@not-exist-domain.com,2006-09-24,Da Nang,6.8,1.5,0.0,students_202601191651.txt,,2.77,Yếu
SV061,Thi B Le,fake_email_61@not-exist-domain.com,2002-01-20,Da Nang,0.4,1.5,0.0,students_202601191651.txt,,0.63,Yếu
SV062,Van A Tran,fake_email_62@not-exist-domain.com,2003-08-16,Hai Phong,1.8,3.2,8.7,students_202601191651.txt,,4.57,Yếu
SV063,Thi B Pham,pham.thib.63@gmail.com,2002-10-12,Ha Noi,2.9,7.3,5.9,students_202601191651.txt,,5.37,Trung Bình
SV064,Thi D Pham,pham.thid.64@gmail.com,2001-12-16,Unknown,8.7,3.6,5.8,students_202601191651.txt,,6.03,Trung Bình
SV065,Huu T Pham,pham.huut.65@gmail.com,2002-09-01,Thanh Hoa,5.2,6.7,4.3,students_202601191651.txt,,5.4,Trung Bình
SV066,Van C Bui,fake_email_66@not-exist-domain.com,2003-07-21,Son La,4.4,5.0,4.6,students_202601191651.txt,,4.67,Yếu
SV067,Duc H Tran,tran.duch.67@gmail.com,2005-12-31,N/A,3.8,4.8,0.0,students_202601191651.txt,,2.87,Yếu
SV068,Ngoc F Tran,tran.ngocf.68@gmail.com,2006-09-24,Can Tho,2.4,0.5,3.2,students_202601191651.txt,,2.03,Yếu
SV069,Ngoc F Bui,bui.ngocf.69@gmail.com,2007-08-13,Hai Phong,5.2,5.4,6.7,students_202601191651.txt,,5.77,Trung Bình
SV070,Minh E Dinh,dinh.minhe.70@gmail.com,2004-10-20,Nghe An,8.8,9.5,5.3,students_202601191651.txt,,7.87,Khá
SV071,Huu T Unknown,unknown.huut.71@gmail.com,2007-05-19,Thanh Hoa,8.2,0.7,0.1,students_202601191651.txt,,3.0,Yếu
SV072,Huu T Le,le.huut.72@gmail.com,2007-06-03,Nghe An,7.6,2.1,9.3,students_202601191651.txt,,6.33,Trung Bình
SV073,Thi D Bui,fake_email_73@not-exist-domain.com,2000-08-21,Can Tho,5.5,8.9,0.8,students_202601191651.txt,,5.07,Trung Bình
SV074,Ngoc F Dang,fake_email_74@not-exist-domain.com,2003-07-19,Tp.Hcm,6.1,6.6,0.0,students_202601191651.txt,,4.23,Yếu
SV075,Huu T Pham,fake_email_75@not-exist-domain.com,2002-12-22,Da Nang,3.0,9.5,9.0,students_202601191651.txt,,7.17,Khá
SV076,Ngoc F Tieu,tieu.ngocf.76@gmail.com,2001-08-10,Unknown,0.4,8.4,0.0,students_202601191651.txt,,2.93,Yếu
SV077,Tuan G Hoang,hoang.tuang.77@gmail.com,2001-09-08,Thanh Hoa,9.9,0.9,8.1,students_202601191651.txt,,6.3,Trung Bình
SV078,Duc H Tran,tran.duch.78@gmail.com,2004-10-19,Son La,2.4,3.9,0.0,students_202601191651.txt,,2.1,Yếu
SV079,Huu T Nguyen,nguyen.huut.79@gmail.com,2003-12-24,Son La,8.2,5.9,3.6,students_202601191651.txt,,5.9,Trung Bình
SV080,Duc H Nguyen,nguyen.duch.80@gmail.com,2002-10-25,Thanh Hoa,8.9,2.3,5.1,students_202601191651.txt,,5.43,Trung Bình
SV081,Minh E Pham,fake_email_81@not-exist-domain.com,2001-08-08,Da Nang,5.7,6.5,0.0,students_202601191651.txt,,4.07,Yếu
SV082,Van A Tieu,tieu.vana.82@gmail.com,2007-11-21,Da Nang,6.2,5.5,0.0,students_202601191651.txt,,3.9,Yếu
SV083,Thi D Tran,fake_email_83@not-exist-domain.com,2000-09-02,Son La,0.4,4.3,6.6,students_202601191651.txt,,3.77,Yếu
SV084,Van A Nguyen,nguyen.vana.84@gmail.com,2005-12-20,Son La,1.2,8.0,1.8,students_202601191651.txt,,3.67,Yếu
SV085,Ngoc F Trinh,trinh.ngocf.85@gmail.com,2000-12-12,Ha Noi,4.0,3.1,0.0,students_202601191651.txt,,2.37,Yếu
SV086,Van C Bui,bui.vanc.86@gmail.com,2003-10-14,Unknown,2.9,8.7,3.2,students_202601191651.txt,,4.93,Yếu
SV087,Van A Tran,fake_email_87@not-exist-domain.com,2005-04-25,Nghe An,5.7,6.1,0.0,students_202601191651.txt,,3.93,Yếu
SV088,Thi D Bui,fake_email_88@not-exist-domain.com,2000-01-04,Tp.Hcm,2.0,4.5,4.6,students_202601191651.txt,,3.7,Yếu
SV089,Duc H Trinh,trinh.duch.89@gmail.com,2001-09-07,Hai Phong,9.6,7.5,8.9,students_202601191651.txt,,8.67,Giỏi
SV090,Minh E Trinh,trinh.minhe.90@gmail.com,2001-02-25,Son La,6.0,2.7,5.1,students_202601191651.txt,,4.6,Yếu
SV091,Minh E Bui,bui.minhe.91@gmail.com,2001-04-04,Hai Phong,6.3,5.0,7.8,students_202601191651.txt,,6.37,Trung Bình
SV092,Ngoc F Hoang,fake_email_92@not-exist-domain.com,2005-03-15,Da Nang,3.3,5.8,7.1,students_202601191651.txt,,5.4,Trung Bình
SV093,Duc H Pham,pham.duch.93@gmail.com,2006-11-19,Da Nang,4.0,5.8,0.8,students_202601191651.txt,,3.53,Yếu
SV094,Van C Unknown,fake_email_94@not-exist-domain.com,2005-04-12,Nghe An,7.5,3.6,6.5,students_202601191651.txt,,5.87,Trung Bình
SV095,Huu T Pham,pham.huut.95@gmail.com,2003-01-28,N/A,2.5,2.6,8.1,students_202601191651.txt,,4.4,Yếu
SV096,Tieu I Nguyen,nguyen.tieui.96@gmail.com,2007-04-24,Nghe An,9.3,4.8,4.0,students_202601191651.txt,,6.03,Trung Bình
SV097,Thi B Pham,pham.thib.97@gmail.com,2001-07-14,Can Tho,2.1,4.5,9.7,students_202601191651.txt,,5.43,Trung Bình
SV098,Van C Dang,dang.vanc.98@gmail.com,2004-03-14,Tp.Hcm,3.1,8.9,0.0,students_202601191651.txt,,4.0,Yếu
SV099,Van C Bui,bui.vanc.99@gmail.com,2006-08-02,Unknown,9.2,3.9,2.5,students_202601191651.txt,,5.2,Trung Bình
SV100,Van A Pham,fake_email_100@not-exist-domain.com,2003-05-29,Hai Phong,9.2,4.5,0.0,students_202601191651.txt,,4.57,Yếu
SV1000,Tieu I Bui,bui.tieui.1000@gmail.com,2004-10-22,Thanh Hoa,9.9,4.9,6.9,students_202601191651.txt,,7.23,Khá
SV101,Van A Tieu,tieu.vana.101@gmail.com,2005-01-22,Unknown,1.4,6.7,7.0,students_202601191651.txt,,5.03,Trung Bình
SV102,Duc H Vu,vu.duch.102@gmail.com,2002-09-21,Unknown,7.3,2.7,2.6,students_202601191651.txt,,4.2,Yếu
SV103,Thi B Pham,pham.thib.103@gmail.com,2004-05-11,Da Nang,2.9,6.1,5.4,students_202601191651.txt,,4.8,Yếu
SV104,Duc H Pham,pham.duch.104@gmail.com,2002-10-22,Hai Phong,2.6,9.2,0.9,students_202601191651.txt,,4.23,Yếu
SV105,Ngoc F Dang,dang.ngocf.105@gmail.com,2007-08-23,Hai Phong,1.3,5.1,1.4,students_202601191651.txt,,2.6,Yếu
SV106,Thi B Dang,dang.thib.106@gmail.com,2002-02-11,Tp.Hcm,0.5,1.3,5.3,students_202601191651.txt,,2.37,Yếu
SV107,Thi B Pham,pham.thib.107@gmail.com,2006-04-15,Tp.Hcm,0.6,9.9,0.0,students_202601191651.txt,,3.5,Yếu
SV108,Tieu I Tran,tran.tieui.108@gmail.com,2005-12-08,Da Nang,9.7,5.6,7.6,students_202601191651.txt,,7.63,Khá
SV109,Duc H Bui,fake_email_109@not-exist-domain.com,2007-09-20,Son La,8.6,8.1,8.2,students_202601191651.txt,,8.3,Giỏi
SV110,Huu T Vu,fake_email_110@not-exist-domain.com,2006-05-12,Ha Noi,3.7,3.5,6.0,students_202601191651.txt,,4.4,Yếu
SV111,Tieu I Tieu,tieu.tieui.111@gmail.com,2001-07-26,Hai Phong,5.4,1.8,0.0,students_202601191651.txt,,2.4,Yếu
SV112,Tieu I Vu,vu.tieui.112@gmail.com,2006-05-17,Nghe An,8.2,5.9,8.4,students_202601191651.txt,,7.5,Khá
SV113,Tuan G Dinh,fake_email_113@not-exist-domain.com,2007-01-26,Nghe An,2.3,2.0,0.0,students_202601191651.txt,,1.43,Yếu
SV114,Tieu I Bui,bui.tieui.114@gmail.com,2004-12-09,Thanh Hoa,7.0,5.3,5.3,students_202601191651.txt,,5.87,Trung Bình
SV115,Duc H Unknown,fake_email_115@not-exist-domain.com,2000-10-26,N/A,2.5,6.8,7.6,students_202601191651.txt,,5.63,Trung Bình
SV116,Van A Nguyen,fake_email_116@not-exist-domain.com,2000-02-24,Nghe An,9.1,1.7,6.5,students_202601191651.txt,,5.77,Trung Bình
SV117,Minh E Trinh,trinh.minhe.117@gmail.com,2003-01-05,Tp.Hcm,9.1,1.9,1.9,students_202601191651.txt,,4.3,Yếu
SV118,Thi D Nguyen,nguyen.thid.118@gmail.com,2005-12-07,Thanh Hoa,5.2,6.2,0.0,students_202601191651.txt,,3.8,Yếu
SV119,Thi B Pham,pham.thib.119@gmail.com,2002-07-31,Ha Noi,1.3,4.1,0.0,students_202601191651.txt,,1.8,Yếu
SV120,Ngoc F Pham,pham.ngocf.120@gmail.com,2005-02-11,Can Tho,2.5,3.3,0.0,students_202601191651.txt,,1.93,Yếu
SV121,Van A Le,fake_email_121@not-exist-domain.com,2006-10-30,Thanh Hoa,2.9,7.4,0.1,students_202601191651.txt,,3.47,Yếu
SV122,Thi B Pham,pham.thib.122@gmail.com,2001-04-17,Hai Phong,2.5,6.3,1.1,students_202601191651.txt,,3.3,Yếu
SV123,Van C Pham,pham.vanc.123@gmail.com,2000-11-04,Ha Noi,4.8,4.7,6.5,students_202601191651.txt,,5.33,Trung Bình
SV124,Thi B Trinh,fake_email_124@not-exist-domain.com,2002-05-25,Hai Phong,6.8,3.0,8.5,students_202601191651.txt,,6.1,Trung Bình
SV125,Van C Pham,fake_email_125@not-exist-domain.com,2001-02-05,Can Tho,6.7,3.0,2.3,students_202601191651.txt,,4.0,Yếu
SV126,Ngoc F Unknown,unknown.ngocf.126@gmail.com,2002-10-21,Can Tho,2.5,4.3,4.5,students_202601191651.txt,,3.77,Yếu
SV127,Tieu I Unknown,fake_email_127@not-exist-domain.com,2005-07-27,Da Nang,0.6,3.3,3.1,students_202601191651.txt,,2.33,Yếu
SV128,Ngoc F Tran,tran.ngocf.128@gmail.com,2002-01-17,Unknown,5.7,2.8,0.0,students_202601191651.txt,,2.83,Yếu
SV129,Van C Unknown,fake_email_129@not-exist-domain.com,2000-02-09,Hai Phong,3.2,3.5,7.5,students_202601191651.txt,,4.73,Yếu
SV130,Huu T Trinh,trinh.huut.130@gmail.com,2004-02-18,Unknown,5.6,4.6,1.0,students_202601191651.txt,,3.73,Yếu
SV131,Thi B Vu,fake_email_131@not-exist-domain.com,2001-02-21,Da Nang,0.1,9.6,6.7,students_202601191651.txt,,5.47,Trung Bình
SV132,Ngoc F Tieu,fake_email_132@not-exist-domain.com,2004-09-08,Tp.Hcm,6.2,3.1,0.0,students_202601191651.txt,,3.1,Yếu
SV133,Van A Hoang,fake_email_133@not-exist-domain.com,2002-03-25,Unknown,3.2,3.9,3.6,students_202601191651.txt,,3.57,Yếu
SV134,Van C Nguyen,fake_email_134@not-exist-domain.com,2004-11-11,Can Tho,0.1,9.5,3.2,students_202601191651.txt,,4.27,Yếu
SV135,Van A Dinh,fake_email_135@not-exist-domain.com,2005-05-14,Da Nang,2.0,1.9,9.5,students_202601191651.txt,,4.47,Yếu
SV136,Huu T Tran,tran.huut.136@gmail.com,2002-12-03,Son La,0.3,7.2,0.0,students_202601191651.txt,,2.5,Yếu
SV137,Huu T Bui,bui.huut.137@gmail.com,2000-04-04,Da Nang,0.8,9.2,8.3,students_202601191651.txt,,6.1,Trung Bình
SV138,Duc H Vu,vu.duch.138@gmail.com,2007-04-19,Thanh Hoa,6.1,6.0,4.6,students_202601191651.txt,,5.57,Trung Bình
SV139,Huu T Dang,dang.huut.139@gmail.com,2007-05-20,Ha Noi,7.1,5.8,0.8,students_202601191651.txt,,4.57,Yếu
SV140,Huu T Le,le.huut.140@gmail.com,2005-11-01,Son La,7.3,3.0,3.8,students_202601191651.txt,,4.7,Yếu
SV141,Thi B Dinh,dinh.thib.141@gmail.com,2004-03-15,Ha Noi,3.5,9.8,0.0,students_202601191651.txt,,4.43,Yếu
SV142,Minh E Le,fake_email_142@not-exist-domain.com,2001-08-28,Hai Phong,0.3,3.4,1.9,students_202601191651.txt,,1.87,Yếu
SV143,Tuan G Pham,pham.tuang.143@gmail.com,2007-06-19,Unknown,0.1,0.8,0.0,students_202601191651.txt,,0.3,Yếu
SV144,Van C Dang,dang.vanc.144@gmail.com,2006-11-10,Ha Noi,7.0,8.9,2.2,students_202601191651.txt,,6.03,Trung Bình
SV145,Thi D Tran,fake_email_145@not-exist-domain.com,2003-09-02,Tp.Hcm,9.2,6.7,0.4,students_202601191651.txt,,5.43,Trung Bình
SV146,Tieu I Pham,fake_email_146@not-exist-domain.com,2001-01-31,N/A,5.7,0.6,7.6,students_202601191651.txt,,4.63,Yếu
SV147,Thi D Nguyen,fake_email_147@not-exist-domain.com,2004-09-08,Can Tho,1.3,9.8,5.0,students_202601191651.txt,,5.37,Trung Bình
SV148,Tuan G Dang,dang.tuang.148@gmail.com,2003-07-11,Hai Phong,6.2,9.2,9.4,students_202601191651.txt,,8.27,Giỏi
SV149,Huu T Trinh,trinh.huut.149@gmail.com,2007-09-18,Unknown,3.6,3.9,4.6,students_202601191651.txt,,4.03,Yếu
SV150,Ngoc F Trinh,trinh.ngocf.150@gmail.com,2007-08-04,Thanh Hoa,2.2,7.4,4.8,students_202601191651.txt,,4.8,Yếu
SV151,Ngoc F Unknown,unknown.ngocf.151@gmail.com,2006-09-26,Ha Noi,2.3,5.5,2.2,students_202601191651.txt,,3.33,Yếu
SV152,Minh E Pham,fake_email_152@not-exist-domain.com,2002-09-20,Son La,5.2,9.1,4.9,students_202601191651.txt,,6.4,Trung Bình
SV153,Duc H Le,le.duch.153@gmail.com,2006-07-05,Can Tho,5.8,7.6,3.3,students_202601191651.txt,,5.57,Trung Bình
SV154,Ngoc F Bui,bui.ngocf.154@gmail.com,2001-06-19,Hai Phong,7.1,9.2,4.6,students_202601191651.txt,,6.97,Khá
SV155,Tieu I Trinh,trinh.tieui.155@gmail.com,2001-09-24,Nghe An,5.0,6.0,0.0,students_202601191651.txt,,3.67,Yếu
SV156,Ngoc F Nguyen,nguyen.ngocf.156@gmail.com,2005-09-16,Thanh Hoa,1.9,4.3,1.4,students_202601191651.txt,,2.53,Yếu
SV157,Van C Trinh,fake_email_157@not-exist-domain.com,2001-08-20,Unknown,9.9,2.6,0.0,students_202601191651.txt,,4.17,Yếu
SV158,Thi D Pham,fake_email_158@not-exist-domain.com,2004-08-07,Nghe An,9.4,5.1,9.2,students_202601191651.txt,,7.9,Khá
SV159,Tieu I Tran,fake_email_159@not-exist-domain.com,2006-01-03,Hai Phong,6.7,3.9,6.6,students_202601191651.txt,,5.73,Trung Bình
SV160,Ngoc F Bui,bui.ngocf.160@gmail.com,2004-05-26,Nghe An,1.3,2.3,8.2,students_202601191651.txt,,3.93,Yếu
SV161,Van C Nguyen,fake_email_161@not-exist-domain.com,2001-09-14,Ha Noi,1.8,5.1,0.0,students_202601191651.txt,,2.3,Yếu
SV162,Thi D Vu,vu.thid.162@gmail.com,2003-12-05,Tp.Hcm,1.7,8.3,9.0,students_202601191651.txt,,6.33,Trung Bình
SV163,Ngoc F Le,le.ngocf.163@gmail.com,2003-11-12,Tp.Hcm,6.8,6.9,2.2,students_202601191651.txt,,5.3,Trung Bình
SV164,Huu T Hoang,hoang.huut.164@gmail.com,2003-07-23,Tp.Hcm,6.6,4.1,1.4,students_202601191651.txt,,4.03,Yếu
SV165,Van C Hoang,hoang.vanc.165@gmail.com,2002-06-20,N/A,8.9,9.7,2.3,students_202601191651.txt,,6.97,Khá
SV166,Thi B Tran,tran.thib.166@gmail.com,2007-05-26,Hai Phong,1.2,8.0,0.0,students_202601191651.txt,,3.07,Yếu
SV167,Duc H Nguyen,nguyen.duch.167@gmail.com,2006-11-18,Son La,10.0,6.1,3.3,students_202601191651.txt,,6.47,Trung Bình
SV168,Huu T Dinh,fake_email_168@not-exist-domain.com,2006-03-29,Ha Noi,3.5,2.4,7.7,students_202601191651.txt,,4.53,Yếu
SV169,Thi B Pham,pham.thib.169@gmail.com,2002-04-09,Unknown,4.4,1.1,6.1,students_202601191651.txt,,3.87,Yếu
SV170,Van A Unknown,unknown.vana.170@gmail.com,2002-06-25,Unknown,8.3,1.3,0.0,students_202601191651.txt,,3.2,Yếu
SV171,Huu T Trinh,fake_email_171@not-exist-domain.com,2002-11-29,N/A,1.2,3.4,0.7,students_202601191651.txt,,1.77,Yếu
SV172,Van C Le,fake_email_172@not-exist-domain.com,2002-01-11,Ha Noi,8.9,6.4,2.8,students_202601191651.txt,,6.03,Trung Bình
SV173,Duc H Bui,fake_email_173@not-exist-domain.com,2002-11-02,Ha Noi,3.3,6.8,3.0,students_202601191651.txt,,4.37,Yếu
SV174,Thi D Trinh,fake_email_174@not-exist-domain.com,2000-10-24,Hai Phong,3.5,6.0,8.1,students_202601191651.txt,,5.87,Trung Bình
SV175,Huu T Dinh,dinh.huut.175@gmail.com,2007-10-21,Hai Phong,9.5,1.0,9.7,students_202601191651.txt,,6.73,Khá
SV176,Tuan G Tran,tran.tuang.176@gmail.com,2006-04-28,Can Tho,3.4,0.3,4.6,students_202601191651.txt,,2.77,Yếu
SV177,Duc H Nguyen,nguyen.duch.177@gmail.com,2003-05-23,N/A,5.4,9.9,6.0,students_202601191651.txt,,7.1,Khá
SV178,Tieu I Bui,bui.tieui.178@gmail.com,2006-03-03,Unknown,5.2,6.3,0.0,students_202601191651.txt,,3.83,Yếu
SV179,Tuan G Trinh,trinh.tuang.179@gmail.com,2000-12-19,Thanh Hoa,8.3,8.2,0.0,students_202601191651.txt,,5.5,Trung Bình
SV180,Tieu I Pham,fake_email_180@not-exist-domain.com,2006-04-03,Hai Phong,6.2,9.5,7.3,students_202601191651.txt,,7.67,Khá
SV181,Van C Bui,bui.vanc.181@gmail.com,2001-08-30,Unknown,1.9,5.0,1.7,students_202601191651.txt,,2.87,Yếu
SV182,Thi B Tieu,tieu.thib.182@gmail.com,2007-06-09,Ha Noi,5.7,3.1,4.1,students_202601191651.txt,,4.3,Yếu
SV183,Thi B Tieu,fake_email_183@not-exist-domain.com,2002-12-05,Unknown,6.3,0.9,1.7,students_202601191651.txt,,2.97,Yếu
SV184,Huu T Tieu,fake_email_184@not-exist-domain.com,2005-02-10,Ha Noi,1.4,7.1,2.9,students_202601191651.txt,,3.8,Yếu
SV185,Van C Pham,pham.vanc.185@gmail.com,2002-03-15,Hai Phong,8.1,5.8,5.9,students_202601191651.txt,,6.6,Khá
SV186,Duc H Le,fake_email_186@not-exist-domain.com,2002-08-15,Da Nang,3.2,2.9,0.0,students_202601191651.txt,,2.03,Yếu
