student_id,full_name,last_name,first_name,email,dob,hometown,math,literature,english,source_file,avg_score,rank
SV039,Thi D Tran,Thi D,Tran,tran.thid.39@gmail.com,2000-01-03,Ha Noi,0.5,2.5,1.4,students_202601161712.txt,1.47,Yếu
SV042,Thi B Pham,Thi B,Pham,pham.thib.42@gmail.com,2002-01-12,Tp.Hcm,0.1,7.3,0.0,students_202601161712.txt,2.47,Yếu
SV043,Van A Tran,Van A,Tran,tran.vana.43@gmail.com,2002-02-22,Tp.Hcm,3.8,2.5,8.8,students_202601161712.txt,5.03,Trung Bình
SV044,Thi B Tran,Thi B,Tran,tran.thib.44@gmail.com,2004-07-08,Da Nang,1.1,3.6,9.9,students_202601161712.txt,4.87,Yếu
SV046,Tuan G Le,Tuan G,Le,le.tuang.46@gmail.com,2002-12-11,Nghe An,4.1,7.6,0.0,students_202601161712.txt,3.9,Yếu
SV050,Thi D Dang,Thi D,Dang,dang.thid.50@gmail.com,2006-09-19,Da Nang,9.8,1.9,6.1,students_202601161712.txt,5.93,Trung Bình
SV051,Thi D Vu,Thi D,Vu,vu.thid.51@gmail.com,2000-01-25,Can Tho,2.0,9.3,1.2,students_202601161712.txt,4.17,Yếu
SV052,Thi B Nguyen,Thi B,Nguyen,nguyen.thib.52@gmail.com,2005-06-16,Hai Phong,4.5,3.5,2.8,students_202601161712.txt,3.6,Yếu
SV053,Thi D Bui,Thi D,Bui,bui.thid.53@gmail.com,2005-02-22,Nghe An,1.1,2.4,0.0,students_202601161712.txt,1.17,Yếu
SV054,Van C Hoang,Van C,Hoang,hoang.vanc.54@gmail.com,2006-09-25,Da Nang,8.1,1.5,0.0,students_202601161712.txt,3.2,Yếu
SV056,Ngoc F Tran,Ngoc F,Tran,tran.ngocf.56@gmail.com,2000-02-15,Hai Phong,5.0,5.3,9.4,students_202601161712.txt,6.57,Khá
SV058,Van A Hoang,Van A,Hoang,hoang.vana.58@gmail.com,2000-04-13,Da Nang,4.0,8.2,8.5,students_202601161712.txt,6.9,Khá
SV064,Ngoc F Hoang,Ngoc F,Hoang,hoang.ngocf.64@gmail.com,2005-08-26,Hai Phong,6.8,3.1,1.3,students_202601161712.txt,3.73,Yếu
SV065,Thi D Hoang,Thi D,Hoang,hoang.thid.65@gmail.com,2005-03-27,Hai Phong,3.3,2.4,4.1,students_202601161712.txt,3.27,Yếu
SV067,Van A Bui,Van A,Bui,bui.vana.67@gmail.com,2007-09-13,Can Tho,9.8,3.2,0.0,students_202601161712.txt,4.33,Yếu
SV069,Thi D Nguyen,Thi D,Nguyen,nguyen.thid.69@gmail.com,2005-06-29,Thanh Hoa,3.2,0.8,1.9,students_202601161712.txt,1.97,Yếu
SV070,Tuan G Pham,Tuan G,Pham,pham.tuang.70@gmail.com,2000-09-21,Tp.Hcm,6.0,3.5,6.6,students_202601161712.txt,5.37,Trung Bình
SV075,Tuan G Tran,Tuan G,Tran,tran.tuang.75@gmail.com,2002-04-29,Nghe An,3.6,8.9,3.2,students_202601161712.txt,5.23,Trung Bình
SV077,Thi B Le,Thi B,Le,le.thib.77@gmail.com,2001-05-01,Tp.Hcm,2.8,5.5,9.5,students_202601161712.txt,5.93,Trung Bình
SV080,Thi B Bui,Thi B,Bui,bui.thib.80@gmail.com,2007-02-25,Thanh Hoa,3.2,1.0,0.9,students_202601161712.txt,1.7,Yếu
SV082,Minh E Vu,Minh E,Vu,vu.minhe.82@gmail.com,2004-04-01,Can Tho,5.0,3.0,3.9,students_202601161712.txt,3.97,Yếu
SV084,Ngoc F Nguyen,Ngoc F,Nguyen,nguyen.ngocf.84@gmail.com,2004-09-20,Da Nang,4.4,6.4,1.2,students_202601161712.txt,4.0,Yếu
SV087,Thi D Nguyen,Thi D,Nguyen,nguyen.thid.87@gmail.com,2004-08-29,Thanh Hoa,0.3,5.0,2.0,students_202601161712.txt,2.43,Yếu
SV088,Van A Dang,Van A,Dang,dang.vana.88@gmail.com,2000-12-24,Hai Phong,1.1,7.2,3.9,students_202601161712.txt,4.07,Yếu
SV092,Minh E Nguyen,Minh E,Nguyen,nguyen.minhe.92@gmail.com,2002-07-17,Hai Phong,8.2,0.2,1.5,students_202601161712.txt,3.3,Yếu
SV097,Thi B Hoang,Thi B,Hoang,hoang.thib.97@gmail.com,2007-02-19,Tp.Hcm,0.4,3.6,0.0,students_202601161712.txt,1.33,Yếu
SV098,Thi B Vu,Thi B,Vu,vu.thib.98@gmail.com,2001-12-26,Hai Phong,0.3,5.4,0.0,students_202601161712.txt,1.9,Yếu
SV100,Thi D Bui,Thi D,Bui,bui.thid.100@gmail.com,2006-07-06,Can Tho,1.2,9.6,1.3,students_202601161712.txt,4.03,Yếu
